Fp_X,Fp_Y,Exponente_obtenido,Exponente_esperado,Mantisa_obtenido,Mantisa_esperado,Resultado_obtenido,Resultado_esperado,R_mode,Signo,Resultado_redondeado
7f800000,ffc00000,7f,ff,400000,400000,7fc00000,bfc00000,100,-,bfc00000
7f800000,ffc00000,7f,ff,400000,400000,7fc00000,bfc00000,100,-,bfc00000
7f800000,ffc00000,7f,ff,400000,400000,7fc00000,bfc00000,100,-,bfc00000
ff800000,7fc00000,7f,ff,400000,400000,7fc00000,bfc00000,000,-,bfc00000
ff800000,7fc00000,7f,ff,400000,400000,7fc00000,bfc00000,000,-,bfc00000
7f800000,7fc00000,7f,ff,400000,400000,7fc00000,3fc00001,011,+,3fc00001
7f800000,7fc00000,7f,ff,400000,400000,7fc00000,3fc00001,011,+,3fc00001
7f800000,7fc00000,7f,ff,400000,400000,7fc00000,3fc00000,001,+,3fc00000
7f800000,7fc00000,7f,ff,400000,400000,7fc00000,3fc00000,001,+,3fc00000
80000000,7fc00000,80,ff,400000,400000,7fc00000,c0400000,000,-,c0400000
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400000,100,-,c0400000
80000000,7fc00000,80,ff,400000,400000,7fc00000,c0400000,001,-,c0400000
80000000,ffc00000,80,ff,400000,400000,7fc00000,40400001,011,+,40400001
80000000,ffc00000,80,ff,400000,400000,7fc00000,40400001,011,+,40400001
80000000,ffc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400001,010,-,c0400001
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400001,010,-,c0400001
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400000,011,-,c0400000
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400000,011,-,c0400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,100,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,100,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,100,+,40400000
00000000,ffc00000,80,ff,400000,400000,7fc00000,c0400000,011,-,c0400000
80000000,ffc00000,80,ff,400000,400000,7fc00000,40400000,000,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
00000000,7fc00000,80,ff,400000,400000,7fc00000,40400000,001,+,40400000
